検索キーワード
2026年2月1日 - 2026年2月28日
検索キーワード,検索キーワードのステータス,検索キーワードのステータスの理由,検索キーワードのマッチタイプ,キャンペーン,広告グループ,通貨コード,キーワードの上限クリック単価,クリック数,表示回数,クリック率,平均クリック単価,費用,最上部インプレッションの割合,上部インプレッションの割合,コンバージョン,ビュースルー コンバージョン,コンバージョン単価,コンバージョン率
マッチングアプリ,有効,,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,"2,951","21,168",13.94%,310,915448,23.09%,67.92%,"25,212.97",0,36,854.39%
出会いアプリ,有効,,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,251,"1,504",16.69%,315,79115,27.88%,76.92%,"1,400.87",0,56,558.11%
50代 出会い,一時停止中,一時停止,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
熟女 出会い,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
熟年 出会い アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
出会い アプリ ランキング,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
マッチング アプリ ランキング,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
大人 出会い アプリ,一時停止中,一時停止,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
出会い系サイト 人気,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
70代 出会い,一時停止中,一時停止,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
出会い アプリ 比較,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
シニア 出会い アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
マッチング アプリ 50代,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
マッチング アプリ 60代,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
60代 出会い アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
50代 出会い アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
大人 マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
50代 マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
60代 マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
シニア マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
70代 出会い アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
大人向け 出会い,一時停止中,一時停止,インテント マッチ,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
大人向け マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
70代 マッチング アプリ,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
マッチング アプリ 70代,一時停止中,一時停止,完全一致,Leads-Search-10 #3,広告グループ 1 個,JPY,1,0,0,0,0,0,0,0,0.00,0,0,0
