広告名,サイト,キャンペーン,広告セット,IMP,Click,CTR%,CPC,消化額,登録,課金,CVR%,CPA,判定
Travis-ad-023,Travis,Travis-camp-CV - 2,Travis-adset-01,17179,1342,7.81,39,52298,21,0,1.56,2490,📊 普通
Olive-ad-k,Olive,Olive-camp-CV - 03,Olive-adset-01,14546,1074,7.38,43,46221,23,6,2.14,2010,📊 普通
Travis-ad-031,Travis,Travis-camp-CV - 2,Travis-adset-01,9671,613,6.34,34,20931,9,1,1.47,2326,📊 普通
Olive-ad-n,Olive,Olive-camp-CV - 03,Olive-adset-01,8061,576,7.15,31,18028,7,1,1.22,2575,📊 普通
Olive-ad-m,Olive,Olive-camp-CV - 03,Olive-adset-01,6550,405,6.18,38,15412,9,1,2.22,1712,📊 普通
Massive-C1-30秒訴求,Massive,Massive-camp-CV,Massive-adset-01,3359,352,10.48,41,14258,14,0,3.98,1018,📊 普通
Travis-ad-032,Travis,Travis-camp-CV - 2,Travis-adset-01,6103,301,4.93,36,10740,2,0,0.66,5370,📊 普通
Massive-A1-成功体験,Massive,Massive-camp-CV,Massive-adset-01,3660,348,9.51,31,10633,21,0,6.03,506,🏆 勝ち
Olive-ad-q,Olive,Olive-camp-CV - 03,Olive-adset-01,3456,135,3.91,33,4482,4,0,2.96,1120,📊 普通
Olive-ad-s,Olive,Olive-camp-CV - 03,Olive-adset-01,1643,110,6.70,41,4469,0,1,0.00,0,📊 普通
Travis-ad-031,Travis,Travis-camp-CV - 2,Travis-adset-01,704,76,10.80,43,3256,0,0,0.00,0,📊 普通
Travis-ad-033,Travis,Travis-camp-CV - 2,Travis-adset-01,306,59,19.28,36,2115,1,0,1.69,2115,⏳ データ不足
Travis-ad-030,Travis,Travis-camp-CV - 2,Travis-adset-01,543,52,9.58,40,2073,0,0,0.00,0,📊 普通
Olive-ad-l,Olive,Olive-camp-CV - 03,Olive-adset-01,296,34,11.49,51,1718,2,0,5.88,859,⏳ データ不足
Travis-ad-029,Travis,Travis-camp-CV - 2,Travis-adset-01,82,16,19.51,43,683,1,0,6.25,683,⏳ データ不足
Olive-ad-j,Olive,Olive-camp-CV - 03,Olive-adset-01,79,6,7.59,36,219,0,0,0.00,0,⏳ データ不足
Massive-D1-アプリ疲れ,Massive,Massive-camp-CV,Massive-adset-01,19,2,10.53,38,75,0,0,0.00,0,⏳ データ不足
