レポート開始日,レポート終了日,キャンペーン名,キャンペーンの配信,結果,結果インジケーター,結果の単価,広告セットの予算,広告セットの予算タイプ,"消化金額 (JPY)",インプレッション,リーチ,フリークエンシー,"CPM(インプレッション単価) (JPY)",リンククリック,終了日時,アトリビューション設定
2026-03-09,2026-04-07,ASAP-camp-CV,inactive,,,,1000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Travis-camp-CV,inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Chill-camp-CV,inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Memoria-camp-CV,inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Massive-camp-CV,active,509,actions:offsite_conversion.fb_pixel_complete_registration,975.98231827,13000,1日,496775,235565,55397,4.252306,2108.865918,10811,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,"Olive-camp-CV - 03",inactive,199,actions:offsite_conversion.fb_pixel_complete_registration,1528.0201005,13000,1日,304076,108298,28223,3.837225,2807.77115,6921,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,ASAP2,inactive,,,,10000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Travis2,inactive,,,,10000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Massive2,inactive,,,,18000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Chill2,inactive,,,,18000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,"Rakuen-camp - CVC",inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,"TOUR-camp - CVC",inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,Action-camp-CVC,inactive,,,,30000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,ASAP3-camp-CV,inactive,,,,12000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,ASAP3-camp,inactive,,,,15000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,"Massive2 20y",inactive,,,,17000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,"Travis2 30y",inactive,,,,17000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,Memoria-camp-CVN,inactive,,,,14000,1日,0,0,0,0,0,,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,"ASAP3-camp-CV - コピー",inactive,,,,15000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
2026-03-09,2026-04-07,"Travis-camp-CV - 2",inactive,216,actions:offsite_conversion.fb_pixel_complete_registration,1409.81481481,13000,1日,304520,189456,38868,4.874344,1607.338907,10089,継続,クリックから7日間、または表示から1日間
2026-03-09,2026-04-07,"Massive CV 0703",inactive,,,,5000,1日,0,0,0,0,0,,継続,クリックから7日間、表示から1日間、またはエンゲージビューから1日間
